2601,bless,verb,to ask the gods to protect someone or something,祝福する,They bless the new building.
2602,airline,noun,company that flies passengers in its planes,航空会社,Which airline are you flying with?
2603,amendment,noun,"a change, addition, or improvement to something",改正,This is a very significant amendment.
2604,grandmother,noun,mother of your mother or father,祖母,My father's mother is my paternal grandmother.
2605,jury,noun,group of people who listen to information about something and make a decision,陪審,The jury is deliberating.
2606,cooperation,noun,a situation where everyone works together to get something done,協力,They're working together in close cooperation.
2607,civilian,noun,ordinary person who is not in the army,民間人,Pietro is another innocent civilian.
2608,composition,noun,something that is created from different parts to make something new,組成,It is a polyphonic composition.
2609,coin,noun,"a small, flat piece of metal used as money",硬貨,This is a gold coin.
2610,regardless,adjective,without being affected or concerned by something difficult or troubling,不注意,We continued regardless of the rain.
2611,scan,verb,to look within something for a particular person or thing,詳しく調べる；ざっと目を通す；スキャンする,Please scan the diary for clues.
2612,bunch,noun,group of things of the same kind,束,What a bunch of fags.
2613,racial,adjective,relating to a person's group based on inherited physical appearance,人種の,Racial discrimination remains a problem.
2614,greet,verb,to meet someone with friendly words and actions; to welcome,挨拶する,Smile and greet people with kindness.
2615,hopefully,adverb,in a manner wishing something to happen,願わくは,Hopefully the weather will be good.
2616,sanction,noun,action taken to force a country to obey laws,制裁,That requires the sanction of the government.
2617,trick,verb,to make someone believe something that is not true,騙す,He tried to trick her.
2618,paragraph,noun,section of writing that usually deals with one subject,段落,Which paragraph are you referring to?
2619,maker,noun,"person, company, or object that creates things",作る人；メーカー,Tom is a cabinet maker.
2620,chocolate,noun,a sweet brown food made from cocoa beans,チョコレート,She baked some chocolate brownies.
2621,stimulate,verb,excite to action,刺激する,We provide activities that stimulate them.
2622,belt,noun,band of material worn around a person's waist,ベルト,This belt is squishing my waist.
2623,potato,noun,edible vegetable,じゃがいも,The potato is a delicious vegetable.
2624,narrative,noun,the telling of a story,物語,The story is a first-person narrative.
2625,tissue,noun,"piece of thin, soft paper",ティッシュ,Yanni uses people like tissue paper.
2626,barely,adverb,almost not possible or does not happen,かろうじて,It is barely believable.
2627,invent,verb,to create something useful for the first time,発明する,I like to invent useful things.
2628,tourism,noun,"traveling to new places (e.g., abroad, for vacations)",観光,"""Purpose of travel?"" ""Tourism."""
2629,pro,noun,someone who earns money doing something they are particularly good at,専門職,He's a golf pro.
2630,stair,noun,steps that go from one level to another,階段,It was raining stair rods.
2631,hesitate,verb,to stop before doing something because you are unsure what to do,ためらう,"Once you hesitate, you are lost."
2632,shine,verb,to make bright light,光る,I shine light in the world.
2633,motivation,noun,feeling in a person that makes him or her want to do something,動機,Her parents' pride is her constant motivation.
2634,romantic,adjective,related to strong feelings of love between two people,ロマンチックな,I have romantic feelings for him.
2635,firmly,adverb,"in a hard, steady, unchanging way",しっかり,The door is firmly locked.
2636,interior,adjective,inside part of something,室内インテリア,He studied interior decoration.
2637,stomach,noun,place in the body where food is broken down so your body can use it,胃,Food is digested in the stomach.
2638,nowhere,adverb,not in or at any place; no place,どこにもない,"That place is in Buttfuck, Nowhere."
2639,pray,verb,to wish or hope for something to happen or be true,祈る；祈願する,I pray for a better future.
2640,championship,noun,sports competition to find the best player or team,選手権,Who won the European Football Championship?
2641,servant,noun,a person who works in another person's house and takes care of them,使用人,The servant cleaned the floor.
2642,immigrant,noun,person moving to another country to live there,移民,Tom is an immigrant from Australia.
2643,excess,noun,amount that is more than necessary,過剰，過度の,He is generous to excess.
2644,complexity,noun,state of having many parts and not being simple,複雑,The wine's complexity fascinated Adriano.
2645,liability,noun,"something that is owed to someone else (e.g., a debt)",責任；負債,Buying a car is a liability.
2646,surprisingly,adverb,in an unexpected way,驚くほど,Their technology is rather surprisingly advanced.
2647,extract,verb,to take something out of something else,引き出す；抽出する,They used to extract teeth.
2648,implementation,noun,"making a law, system, or plan start to happen or be used",履行；実施,We guarantee swift implementation of the plan.
2649,bias,noun,a strong feeling not based on facts to believe one thing over another,偏見；バイアス,She has a strong bias against abstract painting.
2650,differently,adverb,in a way that is not the same,異なって,I see the world differently.
2651,catalog,noun,list of items that are available for purchase,カタログ,Please send me a catalog.
2652,continuous,adjective,happening without stops,連続的な,Life is a continuous back and forth.
2653,golden,adjective,"made of valuable, heavy, yellow metal",黄金の,This knife is golden.
2654,stamp,noun,small piece of paper you buy to put on a letter that you mail,切手,"An envelope and a stamp, please."
2655,guideline,noun,"rule, instruction, or principle",指針,Please follow this safety guideline.
2656,envelope,noun,cover for a letter or card,封筒,"An envelope and a stamp, please."
2657,knife,noun,long piece of metal you use for cutting things,ナイフ,The knife stayed in the drawer.
2658,biological,adjective,something related to life and living things,生物学的な,Tom's searching for his biological father.
2659,consume,verb,"to eat, drink, buy or use up something",消費する,Consume smaller portions of foods and beverages.
2660,luxury,noun,something expensive or costly that is not needed which is bought for pleasure,豪華さ；贅沢品,This is luxury beyond my income.
2661,weekly,adverb,happening once a week,毎週,You need to clean your bathroom weekly.
2662,wherever,adverb,in any situation or at any time that,どこでも,"Wherever, wherever I am."
2663,bite,verb,to press down on or cut into something with the teeth,かむ，かむこと;一口,Bite down on the cotton roll.
2664,printer,noun,machine that makes copies of papers and documents,プリンター,I need paper for a printer.
2665,firstly,adverb,before anything else,まず；第一に,"Firstly, we mustn't be selfish."
2666,anxious,adjective,afraid of what may happen; worried and nervous,心配な,Ziri was very worried and anxious.
2667,adventure,noun,an exciting and often dangerous experience,冒険,Life is a very dangerous adventure.
2668,fence,noun,a wooden or metal structure that separates an area,囲い,The cabin had a fence.
2669,exhaust,verb,"to use all of something such as energy, resources, or possibilities; to make someone very, very tired",疲れさせる,Climbing so many stairs would exhaust anyone.
2670,attraction,noun,interesting place people want to visit,観光スポット,This museum is a popular tourist attraction.
2671,ocean,noun,large body of salt water that covers most of the surface of the earth,海洋,The ocean covers 70% of Earth's surface.
2672,quietly,adverb,making little sound,静かに,Speak a little bit more quietly.
2673,castle,noun,a strong building used in the past to protect people in times of war,城,They also built a sand castle.
2674,veteran,noun,experienced through long service or practice,ベテラン,"You're a veteran, aren't you?"
2675,reflection,noun,"image that you see in a mirror, glass, or water",反射,I could see my reflection in the pond.
2676,nerve,noun,long thin cells in the body that makes feeling and movement possible,神経,Gabriel’s robot has nerve tissue.
2677,determination,noun,will to achieve a goal despite difficulties,決意,Nothing is impossible with determination.
2678,altogether,adverb,completely and fully,完全に；全部で；要するに,"Altogether, things are going well."
2679,fiction,noun,"book or story including ideas, people, and events that are not real",架空；フィクション,That book isn't nonfiction; it's historical fiction.
2680,carpet,noun,colored floor covering made of wool or other material,カーペット,This Berber carpet is handmade.
2681,cluster,verb / noun,"to come together to form a group of people, animals, or things",房；群れ，房になる；群がる,Cue in the Bullet Cluster.
2682,confusion,noun,not knowing what to do,混乱,Everything was lost in the confusion.
2683,hurry,verb,to move quickly,急いで,We have to hurry.
2684,logic,noun,a way of thinking by using facts and reasoning,論理,It conforms to the requirements of logic.
2685,controversial,adjective,"causing a great deal of argument, discussion, or conflict",物議を醸す,This subject is extremely controversial.
2686,raw,adjective,uncooked,生,The meat is raw.
2687,grammar,noun,rules that explain how words are used in a language,文法,I need a grammar guide.
2688,revise,verb,to make changes to improve something,改訂する；復習する,He should revise his lessons!
2689,hint,noun,information that helps you understand or do something more easily,ヒント,The hint was more than clear.
2690,hook,noun,curved or bent tool,フック，フックで吊るす,Tom can use a grappling hook.
2691,bell,noun,a hollow metal object shaped like a cup that rings when it is hit,ベル．鈴,The church bell is ringing.
2692,liquid,noun,basic state of things that is similar to water; not solid or gas,液体,Water is a transparent liquid.
2693,panic,noun,overwhelming feeling of fear and anxiety,パニック,Fear and panic overwhelmed me.
2694,uncle,noun,brother of your father or mother or the husband of your aunt,おじさん,My mother's sister's husband is my uncle.
2695,rice,noun,white or brown grains from a plant used for food,ご飯,Do you prefer white rice or brown rice?
2696,slope,noun,an area of land that is higher on one side than the other,傾斜,It's a very steep slope.
2697,happiness,noun,state of feeling pleased; feeling of satisfaction,幸福,Happiness is a state of mind.
2698,genuine,adjective,"being real, actual, and not false",純正,Felix was being genuine.
2699,vessel,noun,"pot, container",容器,The vessel carried goods overseas.
2700,verb,noun,word that expresses an action or state,動詞,It's a transitive verb.
