201,money,noun,coins or notes we use to pay for things,お金；金銭,I use money for buying clothes.
202,fact,noun,something that is known or proved to be true,事実,The fact proves his honesty.
203,however,conjunction,used to say something is different from what was said before; but,しかしながら,"However, the plan still works."
204,area,noun,a specific section or space; part of a region,地域；場所,This is a restricted area.
205,provide,verb,to make available; to supply for use,提供する,Provide starving people with food.
206,name,noun,what something or someone is called,名前；評判；有名人，名前をつける,Someone's calling my name.
207,read,verb,to look at and comprehend the meaning some writing,読む,Can I read you some of my writing?
208,friend,noun,person who you like and enjoy being with,友だち,Your friend is a good person.
209,month,noun,"one of 12 time periods that make a year, each from 28 to 31 days long",月,A month has thirty or thirty-one days.
210,large,adjective,"big; of great size; broad, tall, wide, long, or fat",大きい；広い,Elephants have large ears and long nose.
211,business,noun,"the making, buying, or selling goods or services for money",職業；商売,Selling cars is my business.
212,without,preposition,used to say you don't have something or it isn't in a place,～なしで,Don't go anywhere without me.
213,information,noun,collection of facts and details about something,情報,I gathered more information about it.
214,open,adjective,not closed or shut,開いた,The door wasn't closed but open.
215,order,verb,"to ask for something you want to buy (e.g., a meal)",注文，注文する,What do you want to order?
216,government,noun,group of people and system which rule a nation,政府,Democracy is a form of government.
217,word,noun,unit of language that has a meaning,単語；言葉,What exactly does this word mean?
218,issue,noun,"important topic discussed, debated, or argued over",問題；論争点,You've touched on an important issue.
219,market,noun,public event where people sell goods on tables,市場；マーケット,People are thronging the Christmas market.
220,pay,verb,to give money for goods or work done,払う；支払い,They pay us for our work.
221,build,verb,"to make (e.g., a house, by putting materials together)",建てる；作る,I want to build a house.
222,hold,verb,to use hands or arms to carry or keep something,持つ；抱く,Aren't we supposed to hold hands?
223,service,verb,to maintain a piece of machinery so it runs well,修理する；点検する,The service starts at noon.
224,against,preposition,in opposition to; disagreeing with,～に反対して,We are against that.
225,believe,verb,to think or accept that something is true,信じる,I made believe it was true.
226,second,adjective,2nd; the one following first,第二の,I'd say the second one.
227,though,adverb,"although, despite the fact that",～だけれども,"It wasn't even true, though."
228,yes,interjection,way to say you agree or will do something,はい,"You'll say yes, won't you?"
229,love,verb,to care for and like someone very strong and deeply,愛,"I love you deeply, not slightly."
230,increase,verb,to make or become something larger in size or amount,増える；増加させる,Algeria needs to increase its growth.
231,job,noun,regular work of earning money,仕事,Have you ever had a regular job?
232,plan,verb,to decide a set of actions to do something,計画する；計画,Mark wants to plan a party.
233,result,verb,to be the outcome of other causes and effects,結果，～という結果になる,Any failure will result in termination.
234,away,adverb,not here; far from here; in a different direction,離れて,It is far away from here.
235,example,noun,something or someone who represents a group,例,I lead by example.
236,happen,verb,to take place or occur,起こる；たまたま～する,Something's about to happen.
237,offer,verb,to give the opportunity to accept something,提供する；申し出る,They made a generous offer.
238,young,adjective,at an early stage of existence; not mature,若い,Isn't he a little young?
239,close,adverb,next to; only a short distance away,近い,I live pretty close to you.
240,program,noun,planned set of actions; a schematic system,計画；予定,This year's program is ready.
241,lead,verb,to show the way or guide others,導く,You lead the way.
242,buy,verb,to get something by paying money for it,買う,Money enables you to buy anything.
243,understand,verb,"to know the meaning of language, what someone says",分かる；理解する,I can understand your language.
244,thank,verb,to tell someone you are grateful to them,感謝する；謝意を伝える,I want to thank them.
245,far,adjective,a long way away,遠い,The station is not far.
246,today,adverb,on this day; at the time that is happening now,今日,I have a meeting today.
247,hour,noun,60 minutes; one of 24 equal units of time in a day,時間,An hour has 60 minutes.
248,student,noun,person studying at school,学生,The student is studying.
249,face,noun,"front part of the head where eyes, nose, and mouth are",顔,Her face is covered with pimples.
250,hope,noun,when you wish something would happen; what you wish,希望,We do hope that happens.
251,idea,noun,"belief, thought, suggestion, opinion, or plan",考え；アイデア,The new plan is based on our idea.
252,cost,noun,price you pay for something,費用,How much did your spectacles cost?
253,less,adjective,smaller in amount or degree,もっと少なく,One-third is less than one-half.
254,room,noun,"a part of building enclosed by walls (e.g., kitchen)",部屋,This room is used as a kitchen.
255,until,conjunction,"up to, to indicate a point in time when something happens",～まで,We'll just have to wait until something happens.
256,reason,noun,explanation for why something occurred or was done,理由；原因；根拠,You'll eventually understand the reason why.
257,form,noun,visible shape or style; type; kind,形,Cabaret is a form of show.
258,spend,verb,to use money to pay for something,使う；過ごす,I want to spend money.
259,head,noun,top part of your body with eyes and a mouth,頭,The head is on top.
260,car,noun,a vehicle with four wheels and engine that can carry things,車,My car has a four-cylinder engine.
261,learn,verb,to get knowledge or skills by study or experience,学ぶ,We learn by experience.
262,level,verb,to make things flat or even,平らにする；同じ高さにする,Workers level the ground.
263,person,noun,"man, woman, or child",人,A child is not a mature person.
264,experience,noun,"knowledge gained by living life, doing new things",経験,"Each day, we gain more life experience."
265,once,adverb,one time; one instance,一度；昔の，いったん～すると,One can only die once.
266,member,noun,person or thing belonging to a group or team,一員；メンバー,I'm a member of the team.
267,enough,adjective,equal to what is needed; as much as required,十分な，十分に,What you've already done is enough.
268,bad,adjective,not good; wrong,悪い,It is neither good nor bad.
269,city,noun,a heavily populated area with many buildings and roads,市；都市,The city has many broad streets.
270,night,noun,time when sun does not shine,夜,The sun doesn't shine at night.
271,able,adjective,"having the power, skill, knowledge, or money to do something",〜することができる,She is able to help.
272,support,verb,to give assistance or advice to someone,支える；支援する,I'd do everything to support you.
273,whether,conjunction,if something will happen or not,～かどうか；～であろうとなかろうと,It happens whether you plan it or not.
274,line,noun,"mark that is long, straight, and very thin",線，並ぶ；線を引く；覆い隠す,He drew a straight line on the paper.
275,present,noun,gift,プレゼント；贈り物,I have a present for me.
276,side,noun,straight edge of an object,側面,Ivan ran straight to the driver's side door.
277,quite,adverb,very; in a complete or total manner,全く；かなり,"She's quite enthusiastic, isn't she?"
278,although,conjunction,despite the fact that; however,〜だけれども,"Jack was looking well, although tired."
279,sure,adjective,having no doubts about something,確信している。承知しました。,You're always so sure about yourself.
280,term,noun,fixed period of weeks for learning at school,学期；期間,The students turned in their term papers.
281,least,adverb,in the smallest or lowest way,最も小さい；最も少ない，最も小さい；最も少ない,"Least said, soonest mended."
282,age,noun,number of years a person has lived (also of things),年齢,Age comes with years.
283,low,adjective,"not high; being near the ground, or bottom",低い,The UFO got very low to the ground.
284,speak,verb,"to use words to tell information, express thoughts",話す,Speak clearly and articulate your words.
285,within,adverb,"not beyond the limits of a particular space, time, or range",～中に；～以内,Please reply within two days.
286,process,verb,to adopt a set of actions that produce a particular result,製造過程；手順；一連のプロセス，処理する,Algeria needs to process raw materials.
287,public,adjective,concerning society in general,公の；公的な,This letter concerns the public good.
288,often,adverb,"many times, frequently, on many occasions",しばしば,I have often been there.
289,train,noun,vehicle that carries people and runs on rails,電車,Most people travel by train.
290,possible,adjective,"having a chance of happening, or being true",可能,It's possible that that'll happen.
291,actually,adverb,used to add new (often different) information,実際は,I was actually thinking of something different.
292,rather,adverb,somewhat; fairly; not that much,かなり；いくぶん；どちらかといえば；それどころか,He is kind rather than gentle.
293,view,noun,things you are able to see from a specific place,見えるもの、視界,Distance lends enchantment to the view.
294,together,adverb,near close in the same place not far in a family or group,一緒,The family often gathers together.
295,consider,verb,to think carefully about something,考慮する；みなす,Please consider it carefully.
296,price,verb,to determine or set the cost of something,値段を付ける,The price is too high.
297,parent,noun,person's mother or father,親,"Your dad is your parent, too."
298,hard,adjective,"difficult to bend, break or cut; solid",硬い,Tempered glass is hard to break.
299,party,noun,"social event often with food, drinks, and dancing",パーティー,I needed to buy food for the party.
300,local,adjective,"relating or restricted to a particular area, city, or town",地元の；局部の，地元の人；局部,What are the local specialties?
