601,particularly,adverb,specially; more than others,特に,He is particularly kind to her.
602,wife,noun,married woman,妻,This woman is my wife.
603,sport,noun,game or physical exercise with rules,スポーツ,You are doing sport.
604,prepare,verb,to make something ready for use,準備する,I need to prepare.
605,discuss,verb,to talk about something seriously or in great detail,話し合いをする,I would like to discuss a few details.
606,response,noun,something said or written as an answer to something,返答；反応,They request a written response.
607,voice,noun,sound made when you speak or sing,声,Your singing voice isn't bad.
608,piece,noun,small part that of something larger,一かけら；破片,What a tiny piece of fish!
609,finish,noun,end of something; completion,終わり,Finish cleaning the windows.
610,suppose,verb,to imagine or guess what might happen,思う；仮定する,What do you suppose happened?
611,apply,verb,"to ask formally for (a job, building permission, etc.)",申し込む；申請する,I'd like to apply for a job.
612,president,noun,"person in charge of a country, company, or organization",大統領；社長,Who's the president of your company?
613,fire,noun,heat and the flame produced when burning,火,The fire is burning.
614,compare,verb,to consider how similar and different things are,比較する,How can you compare?
615,court,noun,"large, flat area, to play tennis or basketball",(テニスなどの)コート,He was on the tennis court.
616,police,noun,"people, often in uniforms, who solve crimes",警察,The police set out to solve the crime.
617,store,noun,place where you can go to buy things,店,Where is the nearest store?
618,poor,adjective,without money; not rich,貧しい,They aren't rich. They are poor.
619,knowledge,noun,"information, understanding, or skill",知識,Education is the key to knowledge.
620,laugh,verb,to make a happy sound when something is funny,笑う，笑い,I love to make people laugh.
621,arm,noun,part of your body from your shoulder to your hand,腕,I have a hand on each arm.
622,heart,noun,part of the body that pumps blood,心臓,The heart serves to pump blood.
623,source,noun,produces or provides what is wanted or needed,源,It was a source of sustenance.
624,employee,noun,person who works for someone else for payment,社員,His father is a bank employee.
625,manage,verb,to run or operate a business by directing others,経営する；管理する,I manage a hotel.
626,simply,adverb,in an easy or clear manner,単に,Can it be expressed more simply?
627,bank,noun,a financial institution that keeps or lends money,銀行,The bank keeps money for people.
628,firm,adjective,"fairly hard or solid, not soft",硬い；しっかりした,The ground feels firm today.
629,cell,noun,short for 'cellphone',携帯電話,I'm calling from a cell phone.
630,article,noun,piece of writing about a particular subject,記事,He's writing an article about me.
631,fast,adjective,moving or able to move quickly,速い,Tom and Mary are fast.
632,attack,verb,"to try to destroy, beat, or injure",攻撃,The dog may attack strangers.
633,foreign,adjective,being of a different place or country,外国の；外国に関する,I hail from a foreign country.
634,surprise,verb,to do something that another person didn't expect,驚かせる,He didn't want to surprise her.
635,feature,noun,distinctive or important point of something,特徴,Her eyes are her best feature.
636,factor,noun,something that influences a result,要因,Cost is also a factor.
637,pretty,adjective,being attractive to the eye in a simple way,可愛い,The bride looked very pretty.
638,recently,adverb,just a while ago; not long ago,最近；近年,That happened just recently.
639,affect,verb,to do something that changes something else,影響する,Sami wanted to affect people positively.
640,drop,verb,to let something fall from your hand,落とす,Let the matter drop.
641,recent,adjective,happening or beginning not long ago,最近,That's more recent than you think it is.
642,relate,verb,to understand or sympathize with someone or something,関係づける；関連する,I want to relate.
643,official,adjective,of or done by someone in authority; formal,公式,Official approval is needed.
644,financial,adjective,involving money,財政の；金融の,He was having financial issues.
645,miss,verb,"to be too late to ride on something (e.g., train or bus)",逃す；～し損なう；結婚前の女子,"If you don't hurry, you'll miss your bus."
646,art,noun,"a creative skill using the imagination (e.g., painting)",芸術,He brought the art of painting to perfection.
647,campaign,verb,to work in an organized and active way toward a goal,運動；キャンペーン,They campaign for economic reform.
648,private,adjective,personal; not to be seen by everyone,私的な；個人的な,I'm a very private person.
649,pause,verb,to stop doing for a while before continuing,一時停止,It was a moment to pause.
650,everyone,pronoun,every person; everybody,全員,One person spoke for everyone.
651,forget,verb,to not remember something,忘れる,I will always remember to forget.
652,page,noun,one side of a sheet of paper,ページ,Print the first page!
653,worry,verb,to feel concerned or troubled about something,心配,They worry about them.
654,summer,noun,part of the year when the weather is hot,夏,"When summer comes, it'll become hot."
655,drink,verb,to put water in your body through your mouth,飲む,It's important to drink enough water.
656,opinion,noun,a person's thoughts on a topic,意見,I thought his opinion was relevant.
657,park,verb,to put your car or bike in a certain place for a time,駐車する,Where did you park my car?
658,represent,verb,to stand in the place or to act the part of,代表する,Does he represent his country alone?
659,key,noun,something you use to open a lock or start a car,かぎ，重要な,"Give me the car key, please."
660,inside,adjective,being in something,内部,It's an inside joke.
661,manager,noun,person who controls and runs a business or group,管理職,"No, he's our business manager."
662,international,adjective,"done or relating to several countries, not just your own",国際的な,Algeria has lots of international friends.
663,contain,verb,to hold something inside something else,含む；入る,It could contain anything.
664,notice,verb,"to become aware by sight, touch, or hearing",気づく；通知,Somebody's going to notice you.
665,wonder,noun,surprise caused by experiencing something amazing,驚き,The view filled us with wonder.
666,nature,noun,"physical world, including plants, animals, rocks",自然,He loves sketching animals in nature.
667,structure,noun,"way something is built, arranged, or organized",構造；組み立て,The structure of the game must be organized.
668,section,noun,one of the parts that form something,部分；区間,Do you have a non-smoking section?
669,myself,pronoun,same person as did the action mentioned,私自身,I've done the same thing myself.
670,exactly,adverb,no more and no less than; precisely,正確に,This sentence comprises exactly forty-four letters.
671,plant,noun,living thing with leaves and roots growing in soil,植物,Plant trees in your garden.
672,paint,verb,to apply something; coat,ペンキ，ペンキを塗る；描く,We want to paint our house.
673,worker,noun,person who works,労働者,Who is that worker?
674,press,verb,to push something against something else,押す；押しつける,He wants to press charges.
675,whatever,determiner,anything or everything needed; no matter what,～する事は何でも；何であれ；一体何が～,Give Mary whatever help she needs.
676,necessary,adjective,needed or required; unavoidable,必要な,We need to do what's necessary.
677,region,noun,"part of a country, of the world, area, etc.",領域,It's the hottest region in the country.
678,growth,noun,act of growing,成長・増殖・腫瘍,He trusts the process of growth.
679,evening,noun,last part of the day and early part of the night,夕方；晩,"Good morning, good afternoon, good evening, good night."
680,influence,verb,to affect what happens; change something (indirectly),影響を与える，影響,My mission is to influence positively.
681,respect,verb,to think very highly of another person because of what they do,尊敬,You're a person I respect.
682,various,adjective,several; consisting of different things or types,様々な,I bought various types of clothes.
683,catch,verb,use your hands to stop and hold something flying,捕まえる,I've got a plane to catch.
684,thus,adverb,therefore; so; as a result,このように；したがって,It thus follows that...
685,skill,noun,ability to do something well,熟練；技術,It's a valuable skill to develop.
686,attempt,verb,to try to do something challenging or difficult,試みる,It's unreasonable to attempt doing that.
687,son,noun,male child; friendly way of addressing a boy,息子,This child is your son.
688,simple,adjective,not hard to understand or do; not complex,簡単な；単純な,It's very simple to understand.
689,medium,noun,"middle size, something between other things",中間；媒体；手段；マスコミ機関,"Choose a medium size, please."
690,average,adjective,typical or normal; usual; ordinary,平均,We're just average folks.
691,stock,noun,piece of a business bought in the form of shares,在庫,"I own 1,000 shares of NTT stock."
692,management,noun,people who are in control of a business or group,管理；経営,Who represent the executive management?
693,character,noun,your personality or nature,性格; 性質; 特徴,"The character depends on personality, not on talent."
694,bed,noun,a piece of furniture that people sleep on,ベッド,Which bed do you sleep in?
695,hit,verb,"to fight, attack or damage something or someone",打つ；たたく,I just wanted to hit someone.
696,establish,verb,to set or create something to last for a long time,設立する；制定する,Establish productive relationships with your co-workers.
697,indeed,adverb,actually; in fact; in reality,確かに,This is indeed true.
698,final,adjective,being the last thing in a series,最後の,This is the final lecture of the series.
