1601,soft,adjective,"easy to press, bend or cut; not hard or firm",柔らかい,It's soft and fuzzy.
1602,row,noun,a straight line of people or things; one after another,列,The trees stand in a row.
1603,youth,noun,when you are young; a young person,若さ,Youth is wasted on the young.
1604,lock,verb,to close something with a device so others can't open it,錠やロック,Don't forget to lock the windows.
1605,fuel,noun,material used to produce heat or power when burned,燃料,Petrol is used as fuel.
1606,expectation,noun,a belief or hope that something is going to happen,予想；期待,My heart bounds with expectation.
1607,employment,noun,having a job; work done for money,雇用,He is seeking employment.
1608,celebrate,verb,"to observe an event or occasion (e.g., a birthday)",祝う,How do you celebrate birthdays?
1609,sexual,adjective,concerning physical activity that can produce babies,性的な,Sexual health education is important.
1610,shoulder,noun,the part of the body where an arm attaches or joins,肩,The shoulder joins the arm to the torso.
1611,breath,noun,air you take in and out of your body,息；呼吸,I get out of breath.
1612,increasingly,adverb,more and more; in greater degree or amount,ますます,I increasingly need your help.
1613,import,verb,to bring items or goods from one country into another,輸入する，輸入,Different countries import many goods.
1614,bottle,noun,a container with a narrow neck used to hold liquids like water or wine,ボトル;瓶,The bottle is filled with water.
1615,ourselves,pronoun,used by a speaker to show that they and one or more people are affected by their action,私たち自身,We will bring trouble upon ourselves.
1616,sheet,noun,"a large piece of fabric or material that is used to cover something, often a bed",シート,Fold the bed sheet.
1617,engine,noun,a machine that changes energy into motion,エンジン,A steam engine transforms heat into power.
1618,cast,verb,"to send, throw, or move something or someone in a direction",配役,Cast the ashes toward a flowing stream.
1619,notion,noun,idea or opinion about doing something,概念,That's an idealistic notion.
1620,conservative,adjective,preferring traditional styles and values,保守的な,Your taste in music is conservative.
1621,journey,noun,traveling from one place to another; trip,旅,The journey is the destination.
1622,opposition,noun,act of disagreeing or trying to stop something,反対,The government is silencing the opposition.
1623,relief,noun,the pleasant and relaxed feeling when something unpleasant stops or does not happen,除去；安心；救助,He felt relief when his mother died.
1624,debt,noun,the sum of money owed to somebody that is not yet paid,債務,When will your debt be paid?
1625,honor,noun,respect given to someone who is admired,名誉,It's considered a great honor.
1626,outcome,noun,"something that happens as a result, consequence",結果,The final outcome is catastrophic.
1627,blame,verb,to say someone is responsible for something bad,非難する,Who's to blame for their failure.
1628,explanation,noun,details or reasons given to make something clear,説明,Your explanation isn't clear.
1629,arise,verb,"to begin, to start to happen",生じる；起こる,Heroes arise in troubled times.
1630,musical,noun,play or movie set to music,ミュージカル,The musical is starting soon.
1631,recover,verb,to become healthy after an illness or injury; to get better,回復する,You can recover from your trauma.
1632,dad,noun,father,パパ,A kid needs his dad.
1633,stretch,verb,to make something bigger or looser by pulling on it,伸ばす,Stretch the dough with your hands.
1634,declare,verb,to say something in an official or sure way,宣言する,Declare it clearly to Clara.
1635,retire,verb,to stop working because you have reached a certain age,引退する；引退する,They plan to retire when they're 65.
1636,tiny,adjective,"very, very small",とても小さい,It's so teeny tiny!
1637,careful,adjective,thinking about what you are doing in order to avoid a mistake,注意深い,"Be careful, avoid risks."
1638,suitable,adjective,acceptable or right for someone or something,適切な；適した,You are suitable for the job.
1639,native,noun,being from or living in the place where you were born,ネイティブ；母語話者,Take me to the Native Americans.
1640,fruit,noun,food that grows on a tree or bush,果物,I planted some fruit trees.
1641,analyze,verb,to study carefully to find out the meaning of,分析する,I analyze the true meaning of existence.
1642,witness,noun,a person who sees something happen,目撃者，目撃する,The witness sees the citizen.
1643,mail,noun,"a letter, package, or email",郵便物；郵便,There's a package in the mail for you.
1644,terrible,adjective,very bad; horrible,ひどい；恐ろしい,This is a terrible tragedy.
1645,researcher,noun,a person who studies something carefully to learn new information,研究者,He's autistic and a longevity researcher.
1646,ordinary,adjective,"not special, different, or unusual",普通の,There's nothing out of the ordinary.
1647,selection,noun,the act of carefully choosing something or someone from a group,選択,Tom made a careful selection.
1648,anywhere,adverb,"in, at, or to any place; used in questions, with 'not'",どこでも,He said he wasn't going anywhere.
1649,mental,adjective,concerning the mind,精神の,Time is a mental concept.
1650,participant,noun,a person who is actively involved and included in something,参加者,Yuri became a participant on the show.
1651,vision,noun,ability to see things with your eyes,ビジョン；視覚,You need to have a vision.
1652,personality,noun,person's character; the way that a person usually acts,人；個性,"The character depends on personality, not on talent."
1653,specifically,adverb,in a well-defined or clear manner; in particular,特に,Language is a specifically human characteristic.
1654,fat,noun,oily part of meat,脂肪,Trim the fat off the meat.
1655,entry,noun,the act of going into some place,入場,You need an entry ticket.
1656,fellow,noun,someone in the same group or situation; a boy or man,仲間,Tom is a reckless young fellow.
1657,chemical,noun,a basic substance produced by mixing elements,化学薬品,Pungent fumes arose from the chemical mixture.
1658,capture,verb,to catch and prevent a person/animal from being free,捕らえられる,I won't capture him again.
1659,tip,noun,a small piece of advice; the end of something,ヒント,I'm gonna leave her a tip.
1660,discount,noun,an amount of money taken off the usual price of something,割引,We give a 10% discount for cash.
1661,peak,noun,"the time or place when something or someone is best, greatest, highest",頂点に達する,The highest peak is Everest.
1662,chairman,noun,a person in charge of a meeting,議長； 会長,The chairman opened the meeting.
1663,proportion,noun,an amount that is a part of a whole thing,割合,Don't blow things out of proportion.
1664,ear,noun,the part of the head that you hear with,耳,I listened with half an ear.
1665,disappear,verb,to become impossible to see,姿を消す,I wanted to disappear.
1666,shout,verb,to speak very loudly because you want to get their attention,叫ぶ,I don't want to shout.
1667,yard,noun,outdoor area or garden next to a house,庭,Does your house have a yard?
1668,constant,adjective,happening frequently or without pause,絶え間ない,Childrens' constant energy exhausts me quickly.
1669,significantly,adverb,in a way that is important or noticeable,意味深い,My goal is to contribute significantly.
1670,hill,noun,an area of land that is higher than the land around it but smaller than a mountain,丘,"It is a proper mountain, not a hill."
1671,considerable,adjective,"large in size, amount, or effect",かなりの,The earthquake caused considerable damage.
1672,instruction,noun,information about how to do or use something,命令；指示,They need a little instruction.
1673,intelligence,noun,"ability to learn, think about, and understand things",知能,Intelligence is the ability to adapt to change.
1674,ideal,adjective,perfect; most suitable; best possible,理想,Describe your ideal man.
1675,folk,adjective,ordinary people,人々；民族,Local folk know the area.
1676,surely,adverb,with certainty; definitely,確かに；きっと,You shall surely pass the test.
1677,guard,verb,"to keep watch over something to protect it e.g., a bank",守る；見張る，警備,Who will guard the guards themselves?
1678,cat,noun,a small animal of the lion and tiger family with four legs and a tail that is kept as a pet,猫,Tom's cat has four legs.
1679,somewhat,adverb,"little, not very",いくぶん,I was somewhat nervous.
1680,kiss,verb,to put your lips against another's to show love,キスをする,Kiss me if you love me.
1681,presentation,noun,act of giving a formal talk about something,プレゼンテーション；発表,I have to prepare my presentation.
